sample_key,gold_answer,reasoner_answer,final_answer,reasoner_correct,final_correct
medqa_6953,D,C,C,0,0
qa_3673,A,A,A,1,1
MedXpertQA_878,D,D,D,1,1
qa_6290,A,A,A,1,1
qa_2632,B,A,A,0,0
qa_1636,A,B,B,0,0
qa_1461,A,A,A,1,1
qa_453,C,C,C,1,1
medmcqa_2145,C,C,C,1,1
qa_8182,C,C,C,1,1
medqa_263,B,B,B,1,1
medqa_4406,A,A,A,1,1
qa_6666,D,D,D,1,1
qa_3436,B,B,B,1,1
medqa_7053,D,C,C,0,0
qa_5412,D,D,D,1,1
qa_8938,C,C,C,1,1
qa_7776,C,C,C,1,1
qa_8679,A,A,A,1,1
qa_2727,B,B,B,1,1
qa_4848,A,A,A,1,1
medqa_5277,A,A,A,1,1
MedXpertQA_829,C,J,J,0,0
medqa_7516,B,B,B,1,1
medqa_5125,B,B,B,1,1
medqa_5859,B,B,B,1,1
qa_2536,D,D,D,1,1
medqa_4100,B,B,B,1,1
qa_6140,A,A,A,1,1
medqa_469,D,D,D,1,1
qa_6508,C,C,C,1,1
qa_3504,C,C,C,1,1
qa_7696,A,A,A,1,1
huatuo_1254,B,B,B,1,1
medqa_4060,C,C,C,1,1
qa_8717,D,D,D,1,1
medqa_65,A,A,A,1,1
medqa_447,A,A,A,1,1
qa_6371,A,A,A,1,1
qa_2134,D,D,C,1,0
MedXpertQA_643,G,D,D,0,0
MedXpertQA_937,J,E,E,0,0
medqa_730,A,A,A,1,1
pubmedqa_artificial_8255,A,A,A,1,1
qa_2227,C,A,A,0,0
medqa_6727,D,B,C,0,0
qa_6473,B,B,B,1,1
qa_3980,D,D,D,1,1
MedXpertQA_161,J,B,B,0,0
qa_8728,D,D,C,1,0
medqa_405,C,A,A,0,0
medqa_5601,A,A,A,1,1
pubmedqa_artificial_1724,A,A,A,1,1
qa_8675,B,D,D,0,0
qa_3437,D,D,D,1,1
qa_2228,B,A,A,0,0
medqa_207,C,B,B,0,0
qa_4998,A,A,A,1,1
qa_8719,B,B,B,1,1
qa_6627,B,B,B,1,1
qa_9567,A,C,C,0,0
qa_7604,B,B,B,1,1
qa_6519,A,B,B,0,0
qa_3789,B,B,B,1,1
MedXpertQA_888,D,A,A,0,0
qa_1131,B,B,B,1,1
medqa_4332,A,A,A,1,1
qa_9350,B,B,B,1,1
MedXpertQA_577,F,G,G,0,0
qa_7820,C,C,C,1,1
qa_8277,D,C,C,0,0
medqa_4261,C,C,C,1,1
medqa_5446,A,B,B,0,0
qa_1554,A,C,C,0,0
qa_3092,D,A,A,0,0
medqa_7458,C,C,C,1,1
medmcqa_2575,C,C,A,1,0
medqa_955,A,A,A,1,1
pubmedqa_artificial_2073,A,B,B,0,0
medqa_193,A,A,A,1,1
qa_1899,B,B,B,1,1
qa_9243,D,D,D,1,1
medqa_6644,B,B,B,1,1
qa_8554,C,C,C,1,1
medqa_4198,D,D,D,1,1
qa_6294,A,D,D,0,0
medqa_7378,A,C,C,0,0
qa_5918,A,C,A,0,1
MedXpertQA_99,F,F,F,1,1
medqa_5220,A,A,A,1,1
pubmedqa_381,A,A,A,1,1
qa_8767,D,D,D,1,1
qa_1504,A,A,A,1,1
medqa_5461,C,C,C,1,1
medqa_5146,D,A,A,0,0
medqa_7308,A,A,A,1,1
qa_7599,D,D,D,1,1
qa_8481,A,A,A,1,1
qa_2425,B,B,B,1,1
qa_5672,C,A,A,0,0
qa_7644,B,B,B,1,1
medmcqa_2597,C,A,A,0,0
medqa_7392,A,A,A,1,1
medqa_514,C,C,C,1,1
qa_3675,E,A,A,0,0
medqa_4978,B,B,B,1,1
qa_1125,C,C,C,1,1
qa_3941,C,C,C,1,1
medqa_587,B,D,D,0,0
qa_941,E,E,E,1,1
qa_5334,B,B,B,1,1
qa_2494,C,B,B,0,0
qa_3431,A,A,A,1,1
qa_9095,B,B,B,1,1
MedXpertQA_563,B,F,F,0,0
qa_9161,C,C,C,1,1
qa_1344,B,B,B,1,1
qa_2553,A,A,A,1,1
medqa_6999,D,D,D,1,1
medqa_7249,A,A,A,1,1
qa_3586,B,C,C,0,0
medmcqa_1971,A,A,A,1,1
huatuo_9008,E,B,B,0,0
medqa_5040,A,A,A,1,1
huatuo_5866,A,A,A,1,1
MedXpertQA_106,D,D,D,1,1
qa_8424,A,A,A,1,1
qa_8819,A,A,A,1,1
medqa_7541,B,C,C,0,0
qa_6348,C,C,C,1,1
pubmedqa_artificial_4922,B,B,B,1,1
MedXpertQA_951,C,E,E,0,0
qa_2307,B,B,B,1,1
MMLU_877,B,B,B,1,1
qa_2891,A,A,A,1,1
qa_6299,A,A,A,1,1
qa_1738,D,D,D,1,1
qa_2390,B,A,A,0,0
medqa_163,C,B,B,0,0
medmcqa_191,B,B,B,1,1
qa_9329,C,C,C,1,1
qa_1900,C,C,C,1,1
qa_5399,C,C,C,1,1
qa_9029,B,D,D,0,0
huatuo_7996,E,E,E,1,1
qa_8888,B,B,B,1,1
qa_8162,B,B,B,1,1
qa_8441,C,C,C,1,1
MMLU_1026,D,D,D,1,1
qa_6156,A,B,A,0,1
medqa_4134,C,C,A,1,0
qa_1095,A,D,D,0,0
MedXpertQA_290,B,D,D,0,0
qa_6592,D,C,C,0,0
qa_3717,C,C,C,1,1
pubmedqa_artificial_9368,A,A,A,1,1
medqa_7258,D,D,D,1,1
qa_7038,B,B,B,1,1
qa_5685,A,B,B,0,0
qa_313,C,B,B,0,0
medqa_7445,D,D,D,1,1
qa_6517,D,D,D,1,1
qa_8426,B,D,B,0,1
MMLU_827,D,D,D,1,1
qa_6279,B,B,B,1,1
medqa_891,D,D,D,1,1
medqa_4372,C,C,C,1,1
MedXpertQA_549,A,G,G,0,0
MedXpertQA_581,E,E,E,1,1
qa_7758,A,A,A,1,1
MedXpertQA_276,F,J,J,0,0
qa_1939,B,B,B,1,1
qa_359,A,A,A,1,1
qa_1981,D,D,D,1,1
huatuo_4112,H,B,B,0,0
qa_4190,C,A,A,0,0
qa_1756,D,D,D,1,1
qa_2818,B,B,B,1,1
qa_1558,A,A,A,1,1
MedXpertQA_243,H,H,H,1,1
qa_8935,D,D,D,1,1
qa_3032,A,A,A,1,1
medqa_5249,C,C,C,1,1
qa_3072,D,D,D,1,1
qa_4474,A,A,A,1,1
pubmedqa_artificial_2842,A,A,A,1,1
qa_3753,C,C,C,1,1
qa_2250,A,A,A,1,1
MedXpertQA_710,E,H,H,0,0
qa_3340,D,C,C,0,0
qa_9224,D,D,D,1,1
qa_427,B,B,B,1,1
qa_3388,A,B,B,0,0
medqa_4807,A,B,B,0,0
qa_7749,C,C,C,1,1
qa_8957,B,B,B,1,1
medqa_4611,B,B,B,1,1
qa_9220,C,C,C,1,1
qa_1795,B,C,C,0,0
qa_2352,D,D,D,1,1
MedXpertQA_292,C,C,C,1,1
medmcqa_2815,B,B,B,1,1
huatuo_1345,A,A,A,1,1
medmcqa_1129,A,A,A,1,1
qa_6399,A,A,A,1,1
qa_9575,B,B,B,1,1
qa_1950,B,B,B,1,1
medqa_4815,A,A,A,1,1
qa_7035,A,A,A,1,1
medqa_5974,C,C,C,1,1
qa_9127,B,B,B,1,1
MedXpertQA_876,B,H,H,0,0
qa_4311,B,B,B,1,1
MedXpertQA_383,I,B,B,0,0
medqa_747,D,D,D,1,1
qa_2411,A,A,A,1,1
medqa_25,B,B,B,1,1
medqa_5467,B,B,B,1,1
qa_8618,C,C,C,1,1
qa_3697,D,B,B,0,0
MedXpertQA_430,D,F,F,0,0
qa_2748,C,C,C,1,1
MedXpertQA_984,J,F,G,0,0
qa_3217,C,C,C,1,1
medqa_7287,A,A,A,1,1
medqa_4721,D,D,D,1,1
pubmedqa_artificial_1899,A,A,A,1,1
medqa_6887,D,D,D,1,1
qa_7933,D,D,D,1,1
qa_1605,C,C,C,1,1
medqa_5959,C,C,C,1,1
medmcqa_3271,C,C,C,1,1
MedXpertQA_67,A,A,A,1,1
medmcqa_1076,B,B,B,1,1
medqa_356,B,B,B,1,1
qa_2245,D,D,D,1,1
huatuo_7386,D,C,C,0,0
qa_9573,C,C,C,1,1
qa_1009,A,A,A,1,1
medqa_7536,C,C,C,1,1
qa_2832,D,A,A,0,0
qa_8743,D,D,D,1,1
medqa_4394,C,C,C,1,1
qa_2081,C,D,D,0,0
qa_9089,A,A,A,1,1
qa_3396,A,A,A,1,1
qa_1580,A,A,A,1,1
huatuo_1727,A,A,A,1,1
qa_8920,A,A,A,1,1
MMLU_856,C,C,C,1,1
medqa_4934,C,B,B,0,0
medqa_309,D,D,D,1,1
MedXpertQA_347,D,D,D,1,1
huatuo_7747,B,B,B,1,1
medqa_424,C,C,C,1,1
qa_2066,A,A,A,1,1
qa_9777,A,A,A,1,1
medqa_4756,D,D,D,1,1
qa_2608,C,C,C,1,1
MedXpertQA_194,F,E,E,0,0
qa_8409,D,D,D,1,1
medqa_4869,C,C,C,1,1
qa_3220,A,A,A,1,1
qa_1540,B,B,B,1,1
qa_7782,C,C,C,1,1
qa_2658,D,B,B,0,0
medqa_5006,C,C,C,1,1
medqa_4089,B,B,B,1,1
medqa_4284,C,C,C,1,1
medqa_5143,B,B,B,1,1
MedXpertQA_475,G,G,G,1,1
qa_6159,B,B,B,1,1
qa_2290,A,B,B,0,0
qa_1018,B,B,B,1,1
qa_4378,B,B,B,1,1
qa_1651,D,D,D,1,1
qa_212,A,A,A,1,1
medqa_478,D,D,D,1,1
MMLU_851,B,B,B,1,1
medqa_4563,D,D,D,1,1
qa_6124,B,B,B,1,1
medqa_300,B,A,A,0,0
qa_2179,D,D,D,1,1
medqa_7533,A,C,C,0,0
qa_2479,D,D,D,1,1
MedXpertQA_934,A,B,B,0,0
medqa_6513,C,C,C,1,1
medqa_5479,D,D,D,1,1
medqa_5088,B,B,B,1,1
MedXpertQA_542,B,F,F,0,0
qa_1825,C,C,C,1,1
MMLU_955,D,D,D,1,1
medqa_5730,D,B,B,0,0
medqa_5992,C,C,C,1,1
medqa_627,D,B,B,0,0
MedXpertQA_849,F,D,D,0,0
medqa_7352,B,B,B,1,1
qa_6313,B,B,B,1,1
huatuo_1715,E,C,C,0,0
medqa_63,D,B,B,0,0
qa_2875,B,B,B,1,1
qa_3638,C,C,D,1,0
medqa_4051,B,A,A,0,0
medqa_4833,D,D,D,1,1
qa_9000,A,A,A,1,1
qa_2503,D,A,A,0,0
qa_8902,C,C,C,1,1
MMLU_867,D,A,A,0,0
medqa_75,B,A,A,0,0
qa_6243,D,D,D,1,1
qa_4877,D,D,D,1,1
qa_6400,C,A,A,0,0
medqa_794,C,C,C,1,1
medqa_222,A,A,A,1,1
medqa_5100,D,D,D,1,1
medqa_220,A,A,A,1,1
medqa_5274,C,C,C,1,1
qa_5605,C,C,C,1,1
qa_3699,C,C,C,1,1
qa_2990,C,C,C,1,1
medqa_5133,B,B,B,1,1
qa_3234,C,C,C,1,1
medmcqa_989,C,C,C,1,1
qa_1202,B,B,B,1,1
qa_4028,C,C,C,1,1
medqa_652,B,B,B,1,1
qa_8901,D,A,A,0,0
medqa_7447,D,A,C,0,0
medqa_638,B,B,B,1,1
medqa_655,C,C,C,1,1
MedXpertQA_544,F,C,C,0,0
medqa_4695,A,A,A,1,1
MMLU_1083,C,C,C,1,1
medmcqa_1836,D,D,D,1,1
qa_7559,C,C,C,1,1
MedXpertQA_270,G,G,G,1,1
qa_1215,B,B,B,1,1
qa_8648,B,B,B,1,1
MedXpertQA_221,I,G,G,0,0
qa_3115,D,D,D,1,1
qa_2090,C,C,C,1,1
qa_3682,C,C,C,1,1
huatuo_5467,B,B,B,1,1
qa_3366,D,D,D,1,1
qa_4748,C,C,C,1,1
qa_8258,D,D,D,1,1
medqa_5600,A,A,A,1,1
qa_7442,A,B,B,0,0
medqa_5888,C,A,A,0,0
qa_3883,D,D,D,1,1
qa_8874,A,A,A,1,1
medqa_608,A,A,A,1,1
qa_2576,A,A,A,1,1
qa_7551,C,C,C,1,1
qa_2094,D,C,A,0,0
qa_6062,B,B,B,1,1
qa_4303,C,C,C,1,1
medqa_4160,B,B,B,1,1
huatuo_4458,D,D,D,1,1
qa_721,A,A,A,1,1
qa_2567,B,B,B,1,1
medqa_5675,A,A,A,1,1
qa_9019,B,B,B,1,1
qa_3874,B,B,B,1,1
qa_6238,A,A,A,1,1
qa_9321,A,A,A,1,1
qa_8374,B,B,B,1,1
huatuo_7551,A,A,A,1,1
medqa_768,B,B,B,1,1
medqa_7560,B,B,B,1,1
qa_2418,A,A,A,1,1
medqa_6647,A,A,A,1,1
medqa_7565,B,B,B,1,1
qa_3722,C,C,C,1,1
medqa_6962,C,C,C,1,1
medqa_6883,C,C,C,1,1
qa_2136,A,A,A,1,1
qa_4938,A,A,A,1,1
qa_5283,C,C,C,1,1
qa_3558,D,A,A,0,0
medqa_4133,A,A,A,1,1
huatuo_1559,D,B,B,0,0
MedXpertQA_594,E,E,E,1,1
qa_1445,B,D,D,0,0
medqa_7186,D,D,D,1,1
medqa_6980,A,A,A,1,1
qa_9314,A,B,A,0,1
qa_6438,C,C,C,1,1
qa_1064,A,A,A,1,1
qa_6356,B,B,B,1,1
qa_5252,C,C,C,1,1
huatuo_9153,C,C,C,1,1
qa_8122,C,C,C,1,1
medmcqa_2164,D,B,D,0,1
qa_3335,D,D,D,1,1
qa_2737,A,C,C,0,0
qa_10522,A,B,B,0,0
qa_9548,A,A,A,1,1
medqa_5391,B,B,B,1,1
qa_2349,D,D,D,1,1
qa_2302,D,D,D,1,1
qa_3443,D,B,B,0,0
medqa_4440,D,D,D,1,1
qa_5763,C,C,C,1,1
pubmedqa_artificial_6967,A,B,B,0,0
qa_3802,B,B,B,1,1
MedXpertQA_23,C,C,C,1,1
medqa_5681,B,B,B,1,1
qa_3406,C,C,C,1,1
qa_592,D,D,D,1,1
qa_6929,D,D,D,1,1
qa_2790,A,D,D,0,0
qa_3861,A,A,A,1,1
qa_3779,A,A,A,1,1
qa_4710,A,C,C,0,0
MedXpertQA_709,B,B,B,1,1
qa_1455,B,B,B,1,1
qa_8805,D,D,A,1,0
qa_6278,A,A,A,1,1
qa_8681,A,A,A,1,1
qa_7790,D,D,D,1,1
qa_6385,C,D,D,0,0
medqa_5822,D,D,D,1,1
MedXpertQA_960,E,E,E,1,1
qa_3833,C,C,C,1,1
medqa_5775,C,C,C,1,1
qa_2528,A,B,B,0,0
qa_8448,A,B,B,0,0
qa_2751,B,B,B,1,1
qa_2735,B,B,B,1,1
qa_8828,D,D,D,1,1
MedXpertQA_730,B,G,G,0,0
qa_3445,B,B,B,1,1
pubmedqa_artificial_7886,A,A,A,1,1
medqa_4514,C,C,C,1,1
medqa_4957,D,D,D,1,1
qa_3243,A,A,A,1,1
qa_2214,C,C,C,1,1
medqa_4437,D,D,D,1,1
qa_8004,B,C,C,0,0
qa_3329,A,A,A,1,1
qa_1850,A,A,A,1,1
huatuo_8196,D,D,D,1,1
qa_5092,D,D,D,1,1
qa_6216,A,C,A,0,1
medmcqa_1811,B,B,B,1,1
qa_2034,B,B,B,1,1
qa_2242,B,A,A,0,0
pubmedqa_artificial_3462,A,B,B,0,0
medqa_819,A,A,A,1,1
medqa_4040,A,A,A,1,1
qa_5157,C,C,C,1,1
