run_label,sample_key,reasoner_answer,final_answer,gold_answer,case_label,of_which_context_driven
"KG w/o context (Qwen V, no patient context)",medqa_7043,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8829,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_9226,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2801,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_538,D,F,F,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_7561,D,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2631,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2695,D,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",huatuo_4533,D,C,C,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",medqa_6710,C,A,A,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_8508,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8963,A,B,B,MIXED,False
"KG w/o context (Qwen V, no patient context)",huatuo_7592,B,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2290,B,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_8583,C,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_544,C,F,F,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1047,C,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_2752,C,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_690,B,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_1951,C,A,A,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_1286,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_5471,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_6954,D,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1066,B,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2142,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_4034,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_7331,B,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_2514,A,D,D,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_3400,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_5664,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",huatuo_8239,C,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_533,I,J,J,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_5278,B,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_5926,C,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_310,D,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_158,C,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_1861,C,D,D,MIXED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_307,D,E,E,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_922,I,A,A,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_3000,A,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_598,F,J,J,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_7942,B,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_4181,A,C,C,MIXED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_314,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_6009,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1419,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1216,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2150,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_5613,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_7801,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2027,C,B,B,MIXED,False
"KG w/o context (Qwen V, no patient context)",medqa_5466,C,A,A,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_6953,C,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_6727,B,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_643,D,G,G,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_8277,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_6294,D,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_5918,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8426,D,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_984,F,J,J,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2832,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_4934,B,C,C,MIXED,False
"KG w/o context (Qwen V, no patient context)",medqa_5730,B,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_63,B,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2094,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_985,G,E,E,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_6385,D,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_6216,C,A,A,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_8010,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_4743,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_7678,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_7402,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_428,C,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_7635,B,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_2241,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_7449,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2182,E,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_4345,B,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_3,C,I,I,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_9389,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8982,B,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_6357,B,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_761,J,I,I,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_5180,C,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_3643,B,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_2615,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_7941,D,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1598,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_3871,C,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",medqa_508,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2140,D,C,C,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_911,G,E,E,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_143,D,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_1040,B,C,C,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",medmcqa_3459,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8726,A,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",medqa_5392,A,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_991,D,C,C,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_6259,A,C,C,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_2194,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_4989,A,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_5302,B,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",medqa_4917,B,A,A,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_6771,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_306,A,E,E,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_717,A,G,G,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1781,C,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_1684,A,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_8203,C,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_756,E,G,G,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_7555,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_4151,B,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2554,A,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_9009,B,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_327,F,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",MMLU_1047,B,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_1209,B,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_908,A,J,J,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8157,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2796,B,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2064,D,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_7723,C,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_1295,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_3413,B,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_4827,D,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2074,B,C,C,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_394,A,J,J,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",medqa_954,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1523,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1979,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_3487,C,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_638,H,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_5488,C,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_1878,D,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_4842,A,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_2275,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",pubmedqa_artificial_4145,B,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1134,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_1394,B,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8039,D,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_917,C,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",huatuo_7878,E,B,B,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_3982,A,D,D,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_3626,D,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8955,A,B,B,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_2064,D,B,B,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_1734,A,C,C,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_6259,A,C,C,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_4181,A,C,C,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_1216,A,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_314,A,B,B,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_1419,C,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2150,C,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_6009,C,B,B,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_704,F,G,G,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",qa_4743,A,B,B,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_6609,B,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_428,C,D,D,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",qa_5278,B,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_5613,A,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_5926,C,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",medqa_5466,C,A,A,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_3,C,I,I,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_4287,C,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2027,C,B,B,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",qa_9389,A,C,C,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",medqa_6902,A,C,C,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_307,D,E,E,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_643,D,G,G,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_5918,C,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_8277,C,D,D,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_6324,C,A,A,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_1554,C,A,A,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_5471,C,D,D,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2632,A,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2094,C,D,D,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",medqa_6954,D,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_9314,B,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_922,I,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2242,A,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",medqa_960,D,C,C,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_7402,A,B,B,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",qa_9542,B,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_5302,B,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_306,A,E,E,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_984,F,J,J,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2095,B,D,D,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_3949,C,B,B,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2832,A,D,D,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_4934,B,C,C,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",medqa_5730,B,D,D,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_4989,A,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_5586,A,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_6340,C,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_8203,C,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_1295,C,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2092,A,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",medqa_7276,A,C,C,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_1209,B,D,D,MIXED,False
"QKG w/ context (Qwen V, with patient context)",medqa_7053,C,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2856,E,A,A,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2227,A,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2796,B,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_1134,A,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_7541,C,B,B,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_954,C,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_6592,C,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_1878,D,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_601,D,H,H,MIXED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_334,A,H,H,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",huatuo_1715,C,E,E,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",medqa_7044,B,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_7941,D,C,C,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_227,H,G,G,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_2760,B,C,C,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_865,H,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_3902,B,D,D,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_8039,D,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2388,C,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_1267,A,B,B,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_8955,A,B,B,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_6608,D,A,A,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_6357,B,D,D,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_6568,B,A,A,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_1598,C,A,A,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",medqa_508,C,D,D,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2494,B,C,C,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",medqa_163,B,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_7653,A,D,D,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_1040,B,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_1781,C,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_2615,A,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_7555,A,B,B,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_8126,A,C,C,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_8067,B,A,A,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_717,A,G,G,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",qa_2290,B,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_300,A,B,B,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_5165,C,A,A,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",MMLU_1047,B,D,D,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_8963,A,B,B,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",huatuo_7322,A,B,B,LIKELY_LEAKAGE,False
"QKG w/ context (Qwen V, with patient context)",qa_3871,C,D,D,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",MedXpertQA_143,D,A,A,LIKELY_KG_SUPPORTED,False
"QKG w/ context (Qwen V, with patient context)",medqa_5268,A,D,D,UNCLASSIFIED,False
"QKG w/ context (Qwen V, with patient context)",qa_1505,D,C,C,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_8829,A,C,C,MIXED,False
"QKG w/ context (Qwen V, with patient context)",qa_2801,C,D,D,LIKELY_KG_SUPPORTED,True
"QKG w/ context (Qwen V, with patient context)",qa_2631,A,B,B,LIKELY_LEAKAGE,False
