run_label,sample_key,reasoner_answer,final_answer,gold_answer,regex_label,of_which_context_driven,llm_label,llm_reasoning,final_label,label_source
"QKG w/ context (Qwen V, with patient context)",qa_2901,B,A,B,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",medqa_4803,B,D,B,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",qa_8918,B,A,B,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",pubmedqa_artificial_1635,A,B,A,LIKELY_LEAKAGE,False,,,LIKELY_LEAKAGE,regex
"QKG w/ context (Qwen V, with patient context)",qa_5412,D,C,D,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",qa_7669,A,B,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",qa_8961,A,D,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",qa_6885,A,B,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",medqa_4322,D,A,D,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",medqa_687,C,B,C,UNCLASSIFIED,False,LIKELY_KG_SUPPORTED,"The contradiction rests explicitly on a KG annotation stating clonidine's first-line status for Tourette syndrome in pediatrics, which is a specific knowledge-graph entity/relation claim that directly contradicts the gold option's characterization of clonidine as second-line.",LIKELY_KG_SUPPORTED,llm
"QKG w/ context (Qwen V, with patient context)",medqa_978,C,B,C,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",pubmedqa_81,A,B,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",medqa_6941,B,D,B,MIXED,False,,,MIXED,regex
"QKG w/ context (Qwen V, with patient context)",medqa_7016,B,A,B,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",medqa_4425,C,A,C,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",qa_7776,C,B,C,LIKELY_KG_SUPPORTED,True,,,LIKELY_KG_SUPPORTED,regex
"QKG w/ context (Qwen V, with patient context)",qa_6399,A,B,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
